stock_id,Date,Open,High,Low,Close,Volume
1,28/11/2023 16:00:00,189.78,191.08,189.4,190.4,38415419
1,29/11/2023 16:00:00,190.9,192.09,188.97,189.37,43014224
1,30/11/2023 16:00:00,189.84,190.32,188.19,189.95,48794366
1,01/12/2023 16:00:00,190.33,191.56,189.23,191.24,45704823
1,04/12/2023 16:00:00,189.98,190.05,187.45,189.43,43389519
1,05/12/2023 16:00:00,190.21,194.4,190.18,193.42,66628398
1,06/12/2023 16:00:00,194.45,194.76,192.11,192.32,41089737
1,07/12/2023 16:00:00,193.63,195,193.59,194.27,47477655
1,08/12/2023 16:00:00,194.2,195.99,193.67,195.71,53406358
1,11/12/2023 16:00:00,193.11,193.49,191.42,193.18,60943699
1,12/12/2023 16:00:00,193.08,194.72,191.72,194.71,52696900
1,13/12/2023 16:00:00,195.09,198,194.85,197.96,70404183
1,14/12/2023 16:00:00,198.02,199.62,196.16,198.11,66831572
1,15/12/2023 16:00:00,197.53,198.4,197,197.57,128538401
1,18/12/2023 16:00:00,196.09,196.63,194.39,195.89,55751861
1,19/12/2023 16:00:00,196.16,196.95,195.89,196.94,40714051
1,20/12/2023 16:00:00,196.9,197.68,194.83,194.83,52242815
1,21/12/2023 16:00:00,196.1,197.08,193.5,194.68,46482549
1,22/12/2023 16:00:00,195.18,195.41,192.97,193.6,37149570
1,26/12/2023 16:00:00,193.61,193.89,192.83,193.05,28919310
1,27/12/2023 16:00:00,192.49,193.5,191.09,193.15,48087681
1,28/12/2023 16:00:00,194.14,194.66,193.17,193.58,34049898
1,29/12/2023 16:00:00,193.9,194.4,191.73,192.53,42672148
1,02/01/2024 16:00:00,187.15,188.44,183.89,185.64,82488674
1,03/01/2024 16:00:00,184.22,185.88,183.43,184.25,58414460
1,04/01/2024 16:00:00,182.15,183.09,180.88,181.91,71983570
1,05/01/2024 16:00:00,181.99,182.76,180.17,181.18,62379661
1,08/01/2024 16:00:00,182.09,185.6,181.5,185.56,59144470
1,09/01/2024 16:00:00,183.92,185.15,182.73,185.14,42841809
1,10/01/2024 16:00:00,184.35,186.4,183.92,186.19,46792908
1,11/01/2024 16:00:00,186.54,187.05,183.62,185.59,49128408
1,12/01/2024 16:00:00,186.06,186.74,185.19,185.92,40477782
1,16/01/2024 16:00:00,182.16,184.26,180.93,183.63,65603041
1,17/01/2024 16:00:00,181.27,182.93,180.3,182.68,47317433
1,18/01/2024 16:00:00,186.09,189.14,185.83,188.63,78005754
1,19/01/2024 16:00:00,189.33,191.95,188.82,191.56,68902985
1,22/01/2024 16:00:00,192.3,195.33,192.26,193.89,60133852
1,23/01/2024 16:00:00,195.02,195.75,193.83,195.18,42355590
1,24/01/2024 16:00:00,195.42,196.38,194.34,194.5,53631316
1,25/01/2024 16:00:00,195.22,196.27,193.11,194.17,54822126
1,26/01/2024 16:00:00,194.27,194.76,191.94,192.42,44594011
1,29/01/2024 16:00:00,192.01,192.2,189.58,191.73,47145622
1,30/01/2024 16:00:00,190.94,191.8,187.47,188.04,55859370
1,31/01/2024 16:00:00,187.04,187.1,184.35,184.4,55467803
1,01/02/2024 16:00:00,183.99,186.95,183.82,186.86,64885408
1,02/02/2024 16:00:00,179.86,187.33,179.25,185.85,102551680
1,05/02/2024 16:00:00,188.15,189.25,185.84,187.68,69668820
1,06/02/2024 16:00:00,186.86,189.31,186.77,189.3,43490759
1,07/02/2024 16:00:00,190.64,191.05,188.61,189.41,53438955
1,08/02/2024 16:00:00,189.39,189.54,187.35,188.32,40962046
1,09/02/2024 16:00:00,188.65,189.99,188,188.85,45155216
1,12/02/2024 16:00:00,188.42,188.67,186.79,187.15,41781934
1,13/02/2024 16:00:00,185.77,186.21,183.51,185.04,56529529
1,14/02/2024 16:00:00,185.32,185.53,182.44,184.15,54630517
1,15/02/2024 16:00:00,183.55,184.49,181.35,183.86,65434496
1,16/02/2024 16:00:00,183.42,184.85,181.67,182.31,49752465
1,20/02/2024 16:00:00,181.79,182.43,180,181.56,53665553
1,21/02/2024 16:00:00,181.94,182.89,180.66,182.32,41529674
1,22/02/2024 16:00:00,183.48,184.96,182.46,184.37,52292208
1,23/02/2024 16:00:00,185.01,185.04,182.23,182.52,45119677
1,26/02/2024 16:00:00,182.24,182.76,180.65,181.16,40867421
1,27/02/2024 16:00:00,181.1,183.92,179.56,182.63,54318851
1,28/02/2024 16:00:00,182.51,183.12,180.13,181.42,48953939
1,29/02/2024 16:00:00,181.27,182.57,179.53,180.75,136682597
1,01/03/2024 16:00:00,179.55,180.53,177.38,179.66,73563082
1,04/03/2024 16:00:00,176.15,176.9,173.79,175.1,81510101
1,05/03/2024 16:00:00,170.76,172.04,169.62,170.12,95132355
1,06/03/2024 16:00:00,171.06,171.24,168.68,169.12,68587707
1,07/03/2024 16:00:00,169.15,170.73,168.49,169,71765061
1,08/03/2024 16:00:00,169,173.7,168.94,170.73,76267041
1,11/03/2024 16:00:00,172.94,174.38,172.05,172.75,60139473
1,12/03/2024 16:00:00,173.15,174.03,171.01,173.23,59825372
1,13/03/2024 16:00:00,172.77,173.19,170.76,171.13,52488692
1,14/03/2024 16:00:00,172.91,174.31,172.05,173,72913507
1,15/03/2024 16:00:00,171.17,172.62,170.29,172.62,121752699
1,18/03/2024 16:00:00,175.57,177.71,173.52,173.72,75604184
1,19/03/2024 16:00:00,174.34,176.61,173.03,176.08,55215244
1,20/03/2024 16:00:00,175.72,178.67,175.09,178.67,53423102
1,21/03/2024 16:00:00,177.05,177.49,170.84,171.37,106181270
1,22/03/2024 16:00:00,171.76,173.05,170.06,172.28,71160138
1,25/03/2024 16:00:00,170.57,171.94,169.45,170.85,54288328
1,26/03/2024 16:00:00,170,171.42,169.58,169.71,57388449
1,27/03/2024 16:00:00,170.41,173.6,170.11,173.31,60273265
1,28/03/2024 16:00:00,171.75,172.23,170.51,171.48,65672690
1,01/04/2024 16:00:00,171.19,171.25,169.48,170.03,46240500
1,02/04/2024 16:00:00,169.08,169.34,168.23,168.84,49329481
1,03/04/2024 16:00:00,168.79,170.68,168.58,169.65,47691715
1,04/04/2024 16:00:00,170.29,171.92,168.82,168.82,53704386
1,05/04/2024 16:00:00,169.59,170.39,168.95,169.58,42104826
1,08/04/2024 16:00:00,169.03,169.2,168.24,168.45,37425513
1,09/04/2024 16:00:00,168.7,170.08,168.35,169.67,42451209
1,10/04/2024 16:00:00,168.8,169.09,167.11,167.78,49709336
1,11/04/2024 16:00:00,168.34,175.46,168.16,175.04,91070275
1,12/04/2024 16:00:00,174.26,178.36,174.21,176.55,101670886
1,15/04/2024 16:00:00,175.36,176.63,172.5,172.69,73531773
1,16/04/2024 16:00:00,171.75,173.76,168.27,169.38,73711235
1,17/04/2024 16:00:00,169.61,170.65,168,168,50901210
1,18/04/2024 16:00:00,168.03,168.64,166.55,167.04,43122903
1,19/04/2024 16:00:00,166.21,166.4,164.08,165,68149377
1,22/04/2024 16:00:00,165.52,167.26,164.77,165.84,48116443
1,23/04/2024 16:00:00,165.35,167.05,164.92,166.9,49537761
1,24/04/2024 16:00:00,166.54,169.3,166.21,169.02,48251835
1,25/04/2024 16:00:00,169.53,170.61,168.15,169.89,50558329
1,26/04/2024 16:00:00,169.88,171.34,169.18,169.3,44838354
1,29/04/2024 16:00:00,173.37,176.03,173.1,173.5,68169419
1,30/04/2024 16:00:00,173.33,174.99,170,170.33,65934776
1,01/05/2024 16:00:00,169.58,172.71,169.11,169.3,50383147
1,02/05/2024 16:00:00,172.51,173.42,170.89,173.03,94214915
1,03/05/2024 16:00:00,186.65,187,182.66,183.38,163224109
1,06/05/2024 16:00:00,182.35,184.2,180.42,181.71,78569667
1,07/05/2024 16:00:00,183.45,184.9,181.32,182.4,77305771
1,08/05/2024 16:00:00,182.85,183.07,181.45,182.74,45057087
1,09/05/2024 16:00:00,182.56,184.66,182.11,184.57,48982972
1,10/05/2024 16:00:00,184.9,185.09,182.13,183.05,50759496
1,13/05/2024 16:00:00,185.44,187.1,184.62,186.28,72044809
1,14/05/2024 16:00:00,187.51,188.3,186.29,187.43,52393619
1,15/05/2024 16:00:00,187.91,190.65,187.37,189.72,70399988
1,16/05/2024 16:00:00,190.47,191.1,189.66,189.84,52845230
1,17/05/2024 16:00:00,189.51,190.81,189.18,189.87,41282925
1,20/05/2024 16:00:00,189.35,191.92,189.01,191.04,44361275
1,21/05/2024 16:00:00,191.09,192.73,190.92,192.35,42309401
1,22/05/2024 16:00:00,192.27,192.82,190.27,190.9,34648547
1,23/05/2024 16:00:00,190.98,191,186.63,186.88,51005924
1,24/05/2024 16:00:00,188.82,190.58,188.04,189.98,36326975
1,28/05/2024 16:00:00,191.51,193,189.1,189.99,52280051
1,29/05/2024 16:00:00,189.61,192.25,189.51,190.29,53068016
1,30/05/2024 16:00:00,190.76,192.18,190.63,191.29,49947941
1,31/05/2024 16:00:00,191.44,192.57,189.91,192.25,75158277
1,03/06/2024 16:00:00,192.9,194.99,192.52,194.03,50080539
1,04/06/2024 16:00:00,194.64,195.32,193.03,194.35,47471445
