stock_id,Date,Open,High,Low,Close,Volume
5,28/11/2023 16:00:00,48.24,48.32,47.47,47.82,40149085
5,29/11/2023 16:00:00,48.38,48.76,47.86,48.14,38200465
5,30/11/2023 16:00:00,48.02,48.11,46.42,46.77,52624663
5,01/12/2023 16:00:00,46.53,47.2,46.19,46.77,36931701
5,04/12/2023 16:00:00,46.08,46.08,45.01,45.51,43754344
5,05/12/2023 16:00:00,45.47,46.6,45.27,46.57,37171762
5,06/12/2023 16:00:00,47.21,47.39,45.41,45.5,38058955
5,07/12/2023 16:00:00,45.7,46.63,45.6,46.6,35082255
5,08/12/2023 16:00:00,46.6,47.74,46.55,47.51,35922370
5,11/12/2023 16:00:00,47.49,47.53,45.83,46.63,50972809
5,12/12/2023 16:00:00,46.05,47.67,46.05,47.66,37238686
5,13/12/2023 16:00:00,47.63,48.59,47.61,48.09,44779186
5,14/12/2023 16:00:00,48.39,48.67,47.42,48.35,39123174
5,15/12/2023 16:00:00,48.19,49.4,48.12,48.89,47994758
5,18/12/2023 16:00:00,49.4,50.43,49.15,50.08,41258717
5,19/12/2023 16:00:00,49.42,49.7,48.9,49.6,46444446
5,20/12/2023 16:00:00,49.66,50,48.1,48.11,39789439
5,21/12/2023 16:00:00,48.81,49.1,48.42,48.99,30042535
5,22/12/2023 16:00:00,49.2,49.38,48.47,48.83,25250676
5,26/12/2023 16:00:00,48.97,49.6,48.96,49.28,24419952
5,27/12/2023 16:00:00,49.51,49.68,49.09,49.42,23364798
5,28/12/2023 16:00:00,49.64,49.88,49.41,49.52,24658748
5,29/12/2023 16:00:00,49.81,50,48.75,49.52,38929330
5,02/01/2024 16:00:00,49.24,49.3,47.6,48.17,41125422
5,03/01/2024 16:00:00,47.49,48.18,47.32,47.57,32089617
5,04/01/2024 16:00:00,47.77,48.5,47.51,48,30653489
5,05/01/2024 16:00:00,48.46,49.55,48.31,49.1,41503927
5,08/01/2024 16:00:00,49.51,52.28,49.48,52.25,64250990
5,09/01/2024 16:00:00,52.4,54.33,51.69,53.14,77310006
5,10/01/2024 16:00:00,53.62,54.6,53.49,54.35,53379576
5,11/01/2024 16:00:00,55,55.35,53.56,54.82,59675877
5,12/01/2024 16:00:00,54.62,54.97,54.33,54.71,35299360
5,16/01/2024 16:00:00,55.02,56.83,54.9,56.38,44957973
5,17/01/2024 16:00:00,56.35,56.47,54.74,56.05,47439444
5,18/01/2024 16:00:00,57.26,57.6,56.11,57.11,49165036
5,19/01/2024 16:00:00,57.99,59.5,57.23,59.49,54350148
5,22/01/2024 16:00:00,60.05,60.33,59.07,59.65,45295463
5,23/01/2024 16:00:00,59.57,59.91,58.59,59.87,29465445
5,24/01/2024 16:00:00,60.3,62.85,59.94,61.36,56027076
5,25/01/2024 16:00:00,62.35,62.72,60.85,61.62,48277684
5,26/01/2024 16:00:00,60.96,61.78,60.57,61.03,39030859
5,29/01/2024 16:00:00,61.23,62.49,60.91,62.47,34873298
5,30/01/2024 16:00:00,62.9,63.49,62.26,62.77,41073530
5,31/01/2024 16:00:00,61.44,62.27,60.7,61.53,45379487
5,01/02/2024 16:00:00,62.1,63.19,61.65,63.03,36914579
5,02/02/2024 16:00:00,63.97,66.6,63.69,66.16,47657765
5,05/02/2024 16:00:00,68.22,69.5,67.21,69.33,68007801
5,06/02/2024 16:00:00,69.63,69.75,66.3,68.22,68311136
5,07/02/2024 16:00:00,68.32,70.22,67.6,70.1,49557455
5,08/02/2024 16:00:00,70.07,70.79,69.46,69.64,41442211
5,09/02/2024 16:00:00,70.53,72.19,70.21,72.13,43663689
5,12/02/2024 16:00:00,72.6,74.61,71.25,72.25,61371018
5,13/02/2024 16:00:00,70.4,73.45,69.62,72.13,60258015
5,14/02/2024 16:00:00,73.2,74.24,71.94,73.9,50491742
5,15/02/2024 16:00:00,73.87,73.97,72.4,72.66,42012181
5,16/02/2024 16:00:00,74.1,74.4,72.5,72.61,49532662
5,20/02/2024 16:00:00,71.95,71.96,67.73,69.45,70483310
